"W1000T","UAA","WineShare","res","x","y"
0,2000,0,5000,3195,3560
0,2100,0,5000,3200,3560
0,1700,0,5000,3205,3560
0,2000,0,5000,3210,3560
0,2200,0,5000,3215,3560
0,1700,0,5000,3220,3560
0,2000,0,5000,3225,3560
0,2200,0,5000,3230,3560
0,2400,0,5000,3235,3560
0,150,0,5000,3000,3555
0,400,0,5000,3005,3555
0,1000,0,5000,3010,3555
0,1900,0,5000,3015,3555
0,2200,0,5000,3040,3555
0,1200,0,5000,3045,3555
0,900,0,5000,3050,3555
0,1400,0,5000,3060,3555
0,2100,0,5000,3065,3555
0,2200,0,5000,3070,3555
0,2400,0,5000,3075,3555
0,2200,0,5000,3080,3555
0,1700,0,5000,3085,3555
0,2000,0,5000,3090,3555
0,1300,0,5000,3095,3555
0,2600,0,5000,3100,3555
0,1700,0,5000,3105,3555
0,1200,0,5000,3110,3555
0,1400,0,5000,3115,3555
0,2500,0,5000,3120,3555
0,2300,0,5000,3125,3555
0,2600,0,5000,3130,3555
0,2100,0,5000,3135,3555
0,2000,0,5000,3140,3555
0,1700,0,5000,3145,3555
0,1100,0,5000,3150,3555
0,1400,0,5000,3155,3555
0,1500,0,5000,3160,3555
0,1500,0,5000,3165,3555
0,1200,0,5000,3170,3555
0,1600,0,5000,3175,3555
0,1500,0,5000,3180,3555
0,1900,0,5000,3185,3555
0,1900,0,5000,3190,3555
0,1800,0,5000,3195,3555
0,1800,0,5000,3200,3555
0,2000,0,5000,3205,3555
0,1800,0,5000,3210,3555
0,2000,0,5000,3215,3555
0,2400,0,5000,3220,3555
0,2100,0,5000,3225,3555
0,2000,0,5000,3230,3555
0,1800,0,5000,3235,3555
0,2100,0,5000,3240,3555
0,2500,0,5000,3245,3555
0,700,0,5000,3000,3550
0,700,0,5000,3005,3550
0,1000,0,5000,3010,3550
0,500,0,5000,3015,3550
0,1200,0,5000,3040,3550
0,1700,0,5000,3045,3550
0,1100,0,5000,3050,3550
0,700,0,5000,3055,3550
0,2000,0,5000,3060,3550
0,2200,0,5000,3065,3550
0,2100,0,5000,3070,3550
0,2300,0,5000,3075,3550
0,2200,0,5000,3080,3550
0,1700,0,5000,3085,3550
0,1800,0,5000,3090,3550
0,1500,0,5000,3095,3550
0,1900,0,5000,3100,3550
0,1500,0,5000,3105,3550
0,1500,0,5000,3110,3550
0,1800,0,5000,3115,3550
0,2200,0,5000,3120,3550
0,2800,0,5000,3125,3550
0,2500,0,5000,3130,3550
