"F4000T","UAA","NutsShare","res","x","y"
0,1400,0,5000,3085,3590
0,1600,0,5000,3090,3590
0,1400,0,5000,3095,3590
0,1200,0,5000,3100,3590
0,1500,0,5000,3105,3590
0,2200,0,5000,3120,3590
0,2400,0,5000,3125,3590
0,2400,0,5000,3130,3590
0,1500,0,5000,3135,3590
0,1500,0,5000,3140,3590
0,1200,0,5000,3145,3590
0,900,0,5000,3150,3590
0,1000,0,5000,3155,3590
0,1000,0,5000,3160,3590
0,700,0,5000,3165,3590
0,400,0,5000,3180,3590
0,2500,0,5000,3220,3590
0,2200,0,5000,3225,3590
0,1700,0,5000,3050,3585
0,1800,0,5000,3055,3585
0,1800,0,5000,3060,3585
0,900,0,5000,3065,3585
0,1700,0,5000,3070,3585
0,1500,0,5000,3075,3585
0,2000,0,5000,3080,3585
0,1900,0,5000,3085,3585
0,1500,0,5000,3090,3585
0,1300,0,5000,3095,3585
0,1300,0,5000,3100,3585
0,1200,0,5000,3105,3585
0,1200,0,5000,3110,3585
0,1300,0,5000,3115,3585
0,1700,0,5000,3120,3585
0,1600,0,5000,3125,3585
0,1400,0,5000,3130,3585
0,800,0,5000,3135,3585
0,1300,0,5000,3140,3585
0,1200,0,5000,3145,3585
0,1000,0,5000,3150,3585
0,1200,0,5000,3155,3585
0,1100,0,5000,3160,3585
0,900,0,5000,3165,3585
0,1200,0,5000,3170,3585
0,1200,0,5000,3175,3585
0,700,0,5000,3180,3585
0,260,0,5000,3185,3585
0,2000,0,5000,3210,3585
0,2500,0,5000,3215,3585
0,1600,0,5000,3220,3585
0,1200,0,5000,3225,3585
0,2000,0,5000,3230,3585
0,400,0,5000,3235,3585
0,1100,0,5000,3050,3580
0,1900,0,5000,3055,3580
0,1500,0,5000,3060,3580
0,1400,0,5000,3065,3580
0,1800,0,5000,3070,3580
0,1500,0,5000,3075,3580
0,1300,0,5000,3080,3580
0,2000,0,5000,3085,3580
0,1700,0,5000,3090,3580
0,1300,0,5000,3095,3580
0,1600,0,5000,3100,3580
0,1100,0,5000,3105,3580
0,1400,0,5000,3110,3580
0,1200,0,5000,3115,3580
0,1200,0,5000,3120,3580
0,1300,0,5000,3125,3580
0,1200,0,5000,3130,3580
0,800,0,5000,3135,3580
0,1400,0,5000,3140,3580
0,1100,0,5000,3145,3580
0,1600,0,5000,3150,3580
0,1500,0,5000,3155,3580
0,1200,0,5000,3160,3580
0,1700,0,5000,3165,3580
0,1600,0,5000,3170,3580
0,1800,0,5000,3175,3580
0,1800,0,5000,3180,3580
0,1600,0,5000,3185,3580
0,2400,0,5000,3210,3580
0,2400,0,5000,3215,3580
0,1900,0,5000,3220,3580
0,2400,0,5000,3225,3580
0,2100,0,5000,3230,3580
0,1000,0,5000,3235,3580
0,800,0,5000,3040,3575
0,1900,0,5000,3045,3575
0,1800,0,5000,3050,3575
0,1900,0,5000,3055,3575
0,1700,0,5000,3060,3575
0,2000,0,5000,3065,3575
0,1600,0,5000,3070,3575
0,1900,0,5000,3075,3575
